establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
497,JD SWEID FOODS (2013) LTD.,605 KUMPF DRIVE   WATERLOO ON N2V 1K8,"43.5042597, -80.54553419999999",   , 6fx 11D,(519) 725-4110 (519) 725-4072/F
498,LES CUISINES GASPSIENNES DE MATANE LTEAlso Doing Business As Name:   LES CUISINES GASPSIENNES LTE/LTD. : LES CUISINES GASPSIENNES :CUISINES GASPSIENNES LTE/LTD. : CUISINES GASPSIENNES : LIDO CAPRI : GASPESIEN : ENRICO'S,85 RUE DU PORT   MATANE QC G4W 3M6,"48.8320473, -67.56828",   , 3x 6x 11AD,(418) 562-5757 (418) 562-6887/F
499,LA MAISON DU GIBIER INC.,585; RUE DE L'ARGON   QUBEC QC G2N 2G7,"46.8890543, -71.32095149999999",   , 6fgx 11A,(418) 849-8427 (418) 849-9271/F
501,4525663 CANADA INC.Also Doing Business As Name:   LES SALAISONS DESCO. : ALIMENTS DELSTAR,87; RUE PRVOST   BOISBRIAND QC J7G 3A1,"45.6275294, -73.8316",   , 3x 6fx 11AD,(450) 437-7182 (450) 437-2048/F
502,LES ALIMENTS ABRUZZO INC.,10765; AVENUE EDGER   MONTRAL-NORD QC H1G 4Z7,"45.5979756, -73.62078439999999",   , 6xf,(514) 322-9000 (514) 322-3123/F
503,INTERCITY PACKERS LTD.,6880 PACIFIC CIRCLE   MISSISSAUGA ON L5T 1N8,"43.66147340000001, -79.6832684",   , 3x 6x,(905) 670-1023 (905) 670-5839/F
504,ETOBICOKE NOODLES INC.Also Doing Business As Name:   QUEEN'S PASTA,66 NEWCASTLE STREET   TORONTO ON M8Y 1A4,"43.6179976, -79.49802439999999",   , 6fgx 11D,(416) 259-2902 (416) 259-2845/F
505,LES VIANDES DE LA PETITE-NATION INC.Also Doing Business As Name:   LES CERFS DE BOILEAU,517; RANG STE-JULIE EST   ST-ANDR-AVELLIN QC J0V 1W0,"45.73055040000001, -75.01340480000002",421; RUE ST-PAUL EST; BUREAU 200   MONTRAL QC H2Y 1H5,1abeh 3x 6x 11ADHKL,(819) 983-7941 (819) 983-4041/F (819) 983-7941/I
506,BOUVRY EXPORT CALGARY LTD.,S.W. 1/4 SEC. 17 TWP. 9; RG. 25; W. 4; HWY # 3 EAST  FORT MACLEOD AB ,"49.7572401, -112.4410315",P.O. BOX 2024   FORT MACLEOD AB T0L 0Z0,1aehi 3x 6x 11ACDGHLR,(403) 553-4431 (403) 553-3037/I (403) 553-3222/F
507,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERM COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREEFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,92 CARTWRIGHT AVE.   TORONTO ON M6A 1V2,"43.7230133, -79.4638658",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6x 11AD,(416) 787-6149 (416) 787-1535/F
508,VIANDES SEFICLO INC.,1660; AVENUE LE NEUF   BCANCOUR QC G9H 2E4,"46.2881094, -72.53972449999999",   , 3x 6x 11ADFGKQRSVI 12Y,(819) 233-2653 (819) 233-3187/F
509,KURT HORN & ASSOCIES INC.Also Doing Business As Name:   SALAISON KURT HORN INC. : LES VIANDES SELECTIONS INC. : HORN'S DELI : LYDIA'S DELI MEAT: SEBRINA'S DELI MEAT : K.H. DELI,2800 EST; RUE ONTARIO   MONTREAL QC H2K 1X3,"45.5353891, -73.5501358",   , 3x 6x 11ADK,(514) 527-1288 (514) 521-6190/F
512,CAPRI RAVIOLI INC.Also Doing Business As Name:   CASA MARIA,11320 - 57E AVENUE   MONTRAL QC H1E 4B6,"45.6431106, -73.5563068",   , 6fx 11DA,(514) 648-5262 (514) 648-5278/F (   )    -
513,DONALD'S FINE FOODSAlso Doing Business As Name:   BRITCO PORK INC. : DONALD'S MEAT DISTRIBUTION,22940 FRASER HIGHWAY   LANGLEY BC V2Z 2T9,"49.082674, -122.5879129",   ,1d 3x 6x 11ADGKQSVIF,(604) 533-5515/I (604) 533-0896/F (604) 533-3911
516,MULTI-NATIONAL MANUFACTURING LTD.Also Doing Business As Name:   JIANO FOODS,65 MELFORD DRIVE   TORONTO ON M1B 2G6,"43.808994, -79.23724639999999",   , 6fx,(416) 412-1900 (416) 412-4418/F EXT. 14/I
517,APETITO CANADA LIMITEDAlso Doing Business As Name:   PRIVATE RECIPES,12; INDELL LANE   BRAMPTON ON L6T 3Y3,"43.7360134, -79.6897185",   , 6fx 11D,(905) 799-1022 (905) 799-2666/F
519,NORTHERN NATURAL PROCESSING L.P.,519 GARNET STREET   WOLSELEY SK S0G 5H0,"50.41428029999999, -103.2660685",BOX 580   WOLSELEY SK S0G 5H0, 3x 6x 11DC,(306) 748-1201
522,PREMIUM BRANDS OPERATING LIMITED PARTNERSHIPAlso Doing Business As Name:   PILLER'S : PILLER SAUSAGES & DELICATESSENS : PILLER'S FINE FOODS-A DIVISION OF PBOLP,38 MIDDLETON STREET   BRANTFORD ON N3S 7V7,"43.1598933, -80.22524650000001",   , 6fx 11D,(519) 757-0663 (519) 757-0663/F
524,9369-5989 QUEBEC INC.,250 RUE GEORGES PINARD   EAST ANGUS QC J0B 1R0,"45.471182, -71.67091049999999",399 RUE DES INDUSTRIES   REPENTIGNY QC J5Z 4Y8,1abdi 3gx 6gx 11ADFGKVQ,(819) 832-1212 (819) 832-1551/F
525,D & S MEAT PRODUCTS LTD.Also Doing Business As Name:   THE ELITE PEAMEAL BACON COMPANY: THE ELITE MEAT PEAMEAL BACON COMPANY:THE ELITE MEAT COMPANY,220 CLEMENTS ROAD WEST UNITS 1-8  AJAX ON L1S 3K5,"43.8347381, -79.02313529999999",   , 3fx 6fx 11DA,(905) 427-9229 (905) 427-6861/F
527,APETITO 2019 FOOD CANADA LTD.Also Doing Business As Name:   SERVICES ALIMENTAIRES HOSPITALIERS-ONTARIO; INC. / HEALTHCARE FOOD SERVICES : HFS EXPERTS IN HEALTHCARE FOOD,1010 DAIRY DRIVE   OTTAWA ON K4A 3N3,"45.4924531, -75.47475659999999",   , 6fx,(613) 834-3360 (613) 834-3394/F
528,333 MEAT CORPORATIONAlso Doing Business As Name:   333 MEAT PRODUCTS CORPORATION;THE TRIPE FACTORY CORPORATION,95 MILLIKEN BOULEVARD   TORONTO ON M1V 1V3,"43.8090217, -79.2964054",   , 6x 11AD,(416) 335-9338 (416) 335-9411/F (416) 335-9338/I
529,LET'S PASTA FOOD SERVICES LTD.Also Doing Business As Name:   LET'S PASTA,1510 - 36 STREET NORTH   LETHBRIDGE AB T1H 5H8,"49.71934690000001, -112.7899096",   LETHBRIDGE AB T1J 4E0, 6fx 11D,(403) 328-8288 (403) 328-8218/F
530,CANAFRIC INC.Also Doing Business As Name:   MORTIMER'S FINE FOODS : SAFFRON GARDENS,15 SEAPARK DRIVE   ST-CATHARINES ON L2M 6S5,"43.1731212, -79.2029118",15 SEAPARK DRIVE   ST-CATHARINES ON L2M 6S5, 6fx 11D,(905) 688-9588 (905) 688-0714
531,QUALITE NATURELLE CHAMPLAIN LTE,11051 RUE MIRABEAU   ANJOU QC H1J 2S2,"45.61760169999999, -73.5855208",   , 5Y,(514) 353-2005 (514) 353-4980/F
532,CONCORD PREMIUM MEATS LTD.Also Doing Business As Name:   MARCANGELO FOODS : CONCORD PREMIUM FOODS : BLACK RIVER ANGUS COMPANY LIMITED : BLACK VALLEY ANGUS COMPANY LIMITED : CENTRAL PARK DELI : MARCANGELO - LES ALIMENTS SKOULAKIS-SKOULAKIS : COUNTY CREEK MEAT COMPANY LIMITED : CONNIE'S KITCHEN,220 WILKINSON ROAD   BRAMPTON ON L6T 4N7,"43.6854209, -79.69595799999999",125 EDILCAN DRIVE;   CONCORD ON L4K 3S6, 6fx 11D,(905) 450-7778 (905) 455-3355/F
533,CATELLI FOODS CORPORATION/CORPORATION D'ALIMENTS CATELLIAlso Doing Business As Name:   OLIVIERI A DIVISION OF CATELLI FOODS CORPORATION; OLIVIERI UNE DIVISION DE CORPORATION D'ALIMENTS CATELLI,1631 DERWENT WAY   DELTA BC V3M 6K8,"49.1621897, -122.9691588",6890 NOTRE DAME EAST   MONTREAL QC H1N 2E5, 6fx 11D,(604) 525-2278 (604) 525-8207/F
534,HUBBERT'S PROCESSING AND SALES INC.Also Doing Business As Name:   HUBBERT'S INDUSTRIES,109 EAST DRIVE   BRAMPTON ON L6T 1B6,"43.7086411, -79.69145329999999",   , 4Y 6x 11AD,(905) 791-0101 (905) 791-9304/F
540,REX PAK LIMITED,85 THORNMOUNT DRIVE   TORONTO ON M1B 5V3,"43.80626160000001, -79.1946049",   , 7Y 11D,(416) 755-3324 (416) 755-6520/F
542,1505040 ONTARIO LIMITEDAlso Doing Business As Name:   EAGLE POULTRY PROCESSING,442 BRIMLEY ROAD; UNIT 4&5   TORONTO ON M1J 1A1,"43.7311021, -79.24614340000001",   , 3f 6f 11D,(416) 264-8338 (416) 264-9053/F (416) 264-9056/I
543,P & S FROZEN FOODS LTD.Also Doing Business As Name:   P & S FROZEN FOODS,1238 SE MARINE DRIVE   VANCOUVER BC V5X 2V9,"49.2107511, -123.0816344",   , 6fx,(604) 324-8820 (604) 324-8870/F (604) 324-8863/I
544,CANADIAN BLAST FREEZERS LTD.Also Doing Business As Name:   CANADA FIRST BRANDS,80 CARRYING PLACE ROAD   TRENTON ON K8V 3E6,"44.0851368, -77.5823174",4-505 IROQUOIS SHORE ROAD   OAKVILLE ON L6H 2R3, 3x 6x 9B/US 11ADFGHQRSVI 12Y,(613) 394-4122 (613) 394-4184/F
545,SUPERIOR POULTRY PROCESSORS LTD.,2784 ABERDEEN AVENUE   COQUITLAM BC V3B 1A3,"49.2765154, -122.8051589",   ,1fi 3f 6f 11DGV,(604) 464-0533 (604) 464-3511/I (604) 464-6213/F
546,SPCIALITS M.B. INC.Also Doing Business As Name:   LA FOURCHETTE : YU'SKEWS : OLIVE & CUCINA : LA FONDUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     : LES SPCIALIT DU CONNAISSEUR : VIANDE SURFINES,5450; AVENUE TRUDEAU   ST-HYACINTHE QC J2S 7Y8,"45.6346287, -72.9753132",   , 6fx 11DA,(450) 771-1415 (450) 771-1417/F
548,CONAGRA FOODS CANADA INC./ALIMENTS CONAGRA CANADA INC.Also Doing Business As Name:   V-H FOODS / ALIMENTS V-H,570 BOUL. DU CURE-BOIVIN   BOISBRIAND QC J7G 2A7,"45.6212863, -73.8292232",   , 6fx 11ADK,(450) 433-1322 (450) 433-6422/F
550,GOLDEN VALLEY FARMS INC.,50 WELLS STREET   ARTHUR ON N0G 1A0,"43.8334448, -80.556445",P.O. BOX 670   ARTHUR ON N0G 1A0, 6fx 11AD,(519) 848-3110 (519) 848-3470/F
552,SUMMER FRESH SALADS INCORPORATED,181 SHARER ROAD   VAUGHAN ON L4L 8Z3,"43.7812818, -79.5610926",   , 6fx 11D,(905) 856-8816 (905) 856-9298/F
553,TO-LE-DO FOODSERVICE LTD.Also Doing Business As Name:   TO-LE-DO FOODSERVICE,143 HENRY AVENUE   WINNIPEG MB R3B 3G9,"49.9030684, -97.1321904",2430 MCGILLIVRAY BLVD.   WINNIPEG MB R3Y 1G6, 3x 6x,(204) 956-4177 (204) 957-1728/F
554,ALIMENTS DESAUTELS FOODS INC.,20731 CONCESSION 5   GREEN VALLEY ON K0C 1L0,"45.2561615, -74.5953852",R.R. 2   GREEN VALLEY ON K0C 1L0, 3fx 6fx,(613) 347-3104 (613) 347-1076/F
557A,CATELLI FOODS CORPORATION/CORPORATION D'ALIMENTS CATELLIAlso Doing Business As Name:   OLIVIERI A DIVISION OF CATELLI FOODS CORPORATION; OLIVIERI UNE DIVISION DE CORPORATION D'ALIMENTS CATELLI,80 BROCKLEY DRIVE   HAMILTON ON L8E 3C5,"43.2365112, -79.7440937",   , 6fx 11D,(905) 560-6200 (905) 560-6949/F
558,7687567 CANADA INC.Also Doing Business As Name:   ALIMENTS LUCKY 8,670 RUE ST-ROMUALD   LEVIS QC G6W 5M6,"46.7474219, -71.2251222",   , 6fx,(418) 834-7778 (418) 839-1540/F
562,DE BOER'S POULTRY LTD.Also Doing Business As Name:   HOLIMA FOODS,4485 HARVESTER ROAD   BURLINGTON ON L7L 4X3,"43.3764249, -79.76952039999999",   , 3f 6f,(905) 632-7674 (905) 632-7678/F
564,WINDSOR MARKETING ASSOCIATES LTD.Also Doing Business As Name:   JUSTA BESTA FOOD,157 STRONACH CRESCENT   LONDON ON N5V 3G5,"43.0243725, -81.1870884",   , 6fx 11AD,(519) 659-3178 (519) 659-3193/F
565,NALEWAY FOODS LTD.,233 HUTCHINGS STREET   WINNIPEG MB R2X 2R4,"49.9429877, -97.18000239999999",   , 6x,(204) 633-6535 (204) 694-4310/F Ext. 31/I
566,MACGREGORS MEAT & SEAFOOD LTD.Also Doing Business As Name:   MACGREGOR FOODS : NORTH COUNTRY COOKHOUSE : STEAKHOUSE CHOICE : 44th STREET,60 HANLAN ROAD   VAUGHAN ON L4L 3P6,"43.76947029999999, -79.56610529999999",265 GARYRAY DRIVE   TORONTO ON M9L 1P2, 3x 6fx 11D,(905) 851-6328 (905) 856-0541/F
571,MOUNTAIN TOP FOODS LTD.,2220-19TH AVENUE   NANTON AB T0L 1R0,"50.3472126, -113.7673842",BOX 58   NANTON AB T0L 1R0, 6fx,(403) 646-0038 (403) 646-2283/F
572,CHARCUTERIE L. FORTIN LIMITEAlso Doing Business As Name:   PRODUITS L.F. : PHILIPS MEAT : VIANDES PHILIPS : PHILIPS FOODS : ALIMENTS PHILIPS,849; AVENUE BOMBARDIER   ALMA QC G8B 6H2,"48.5682177, -71.6451263",5371; AVENUE DU PONT NORD   ALMA QC G8E 1T7, 3x 6x 11AD,(418) 347-3365 (418) 347-4638/F
573,VANTAGE FOODS (MB) INC.,41 PAQUIN ROAD   WINNIPEG MB R2J 3V9,"49.8813019, -97.0430695",   , 3fx 6fx 11SD,(204) 667-9903 (204) 667-5605/F
577,LEAVOY ROWE BEEF CO. LTD.*,2576 WHARTON GLEN AVENUE   MISSISSAUGA ON L4X 2A9,"43.61823400000001, -79.5719347",   , 3fx 6fx 11DFL,(905) 272-2330 (905) 272-7161/F
578,GRAND RIVER FOODS LTD.Also Doing Business As Name:   DC FOODS (Division of Sunwest Food Processors Ltd.),35 NORTHLAND ROAD   WATERLOO ON N2V 1Y8,"43.5057463, -80.5344515",35 NORTHLAND ROAD   WATERLOO ON N2U 1Y8, 6f 11D,(519) 747-5546 (519) 886-8656/F
581,9136-4802 QUEBEC INC.Also Doing Business As Name:   DLICES AL-MANAR,100; RUE DUMONT   EAST ANGUS QC J0B 1R0,"45.4799639, -71.67668069999999",   , 6fx 11D,(819) 832-4777 (819) 832-3048/F
587,KML MEAT PROCESSORS LTD.,6478 KAMLOOPS-VERNON HWY.   WESTWOLD BC V0E 3B1,"50.472432, -119.7738583",   ,1a;h 3x 11LS,(250) 375-2388 (250) 375-2378/F
589,THE MEAT FACTORY LIMITEDAlso Doing Business As Name:   PEAMEAL BACON OF CANADA : LOU'S BARBEQUE : FIVE STAR CANADIAN BEEF,46 COMMUNITY AVENUE   STONEY CREEK ON L8E 2Y3,"43.2380855, -79.7334254",   , 3x 6fx 11AD,(905) 664-2126 (905) 662-2284/F
590,DUSO'S ENTERPRISES LTD.,#200 - 1625 KEBET WAY   PORT COQUITLAM BC V3C 5W9,"49.2381887, -122.7627438",   , 6fx 11D,(604) 464-8101 (604) 464-8220/F
591,SUNRISE POULTRY PROCESSORS LTD.,3863 - 6TH AVENUE NORTH   LETHBRIDGE AB T1H 5C2,"49.7096242, -112.7851945",   ,1f 3f 6f 11DV,(403) 380-4639 (403) 380-4735/F (403) 382-4908/I
595,LES ALIMENTS MASONE PASTA INC./MASONE PASTA FOODS INC.,8495; RUE DU CREUSOT   SAINT-LONARD QC H1P 2A2,"45.6004061, -73.5869922",   , 6fx 11DA,(514) 323-4111 (514) 323-0413/F (514) 323-4111/I
596,UNION POULTRY CANADA INC.,70 DENISON ST.; UNIT #2   MARKHAM ON L3R 1B6,"43.8213374, -79.35690489999999",   , 3fx 6fx 9B/US 11D,(905) 305-1913 (905) 305-1514/F Ext. 243/I
598,BAVARIAN LINK MEAT PRODUCTS LIMITED,699 WALLACE ROAD   NORTH BAY ON P1B 8G4,"46.3158034, -79.4246915",   , 6fx,(705)-495-3334 (705)-476-7596/F
599,K & R POULTRY LTD.Also Doing Business As Name:   FARMFED,31171 PEARDONVILLE RD.   ABBOTSFORD BC V2T 6K6,"49.0463631, -122.3607565",   ,1fhi 3f 11D,(604) 850-5808 (604) 850-5838/F (604) 850-9231/I
600,TIFFANY GATE FOODS INC.Also Doing Business As Name:   TIFFANY GATE FOODS : THYME AND TRUFFLES,195 STEINWAY BLVD.   TORONTO ON M9W 6H6,"43.7482836, -79.6272044",   , 6fx 11D,(416) 213-9720 (416) 213-9790/F
601,BUNGE CANADA HOLDINGS 1 ULCAlso Doing Business As Name:   BUNGE CANADA,2190 SOUTH SERVICE ROAD WEST   OAKVILLE ON L6L 5N1,"43.4179288, -79.728946",   , 7Y 11DF,(905) 825-7900 (905) 847-1336/F
602,710769 ALBERTA LTD.Also Doing Business As Name:   ROYAL FOOD PRODUCTS; MEYERS MIGHTY FINE FOOD COMPANY,12525 - 89 STREET   EDMONTON AB T5B 3X2,"53.58221830000001, -113.4776921",   , 6fx 11D,(780) 474-2313 (780) 471-3910/F
604,TROCHU MEAT PROCESSORS LTD.Also Doing Business As Name:   SUNTERRA MEAT : TROVAL MEATS,233 NORTH ROAD   TROCHU AB T0M 2C0,"51.83032559999999, -113.2214395",BOX 309   TROCHU AB T0M 2C0,1d 3x 6x 11ADFQSI,(403) 442-4202 (403) 442-2771/F
605,E-FISH-ENT FISH COMPANY LTD.,1941 GOODRIDGE ROAD   SOOKE BC V9Z 0C6,"48.3899068, -123.6625504",   , 2fx 6xf,(250) 642-4007 (250) 642-4057/F
606,LES PLATS DU CHEF ULC.Also Doing Business As Name:   CUISINE ADVENTURES; PLATS DU CHEF; JONATHAN T,575 OSTER LANE   VAUGHAN ON L4K 2B9,"43.8059501, -79.493758",   , 6fx 11AD,(905) 669-0700 (905) 669-9829/F
609,MEATY MEATS INC.,896 LAKESHORE ROAD   MISSISSAUGA ON L5E 1E1,"43.5736273, -79.5610171",   , 3fx 6fx 11D,(905) 278-7999 (905) 278-0009/F
613,1749348 ONTARIO INC.Also Doing Business As Name:   TILLSONBURG CUSTOM FOODS,20 VANCE DR.   TILLSONBURG ON N4G 4W9,"42.8772385, -80.7422593",   , 3f 6fx 9B/US,(519) 688-9670 (519) 688-1104/F
615,GINGER BEEF CHOICE LTD.,5521 - 3RD STREET S.E.   CALGARY AB T2H 1K1,"51.0047225, -114.0577832",   , 3fx 6fx,(403) 272-8088 (403) 235-0688/F
616,OSI SELECT READY FOODS INC.Also Doing Business As Name:   SELECT READY FOODS,8715 - 126 AVENUE NW   EDMONTON AB T5B 1G8,"53.58230450000001, -113.4749116",8715-126 AVENUE NW   EDMONTON AB T5B 1G8, 3x 6fx,(780) 479-1742/T (587) 490-0049/F
618,MONTCALM MEATS INC./LES VIANDES MONTCALM INC.Also Doing Business As Name:   LES VIANDES INTERCITE TM,7755 RUE GRENACHE   ANJOU QC H1J 1C4,"45.6111075, -73.57409109999999",   , 3x 6x,(514) 327-1310 (514) 328-8050/F
620,MAPLE LEAF FOODS INC. / LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PRPARES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PRPARES VANCOUVER FANCY,440 GLOVER ROAD   HANNON ON L0R 1P0,"43.17133889999999, -79.8337995",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11D,(905) 692-8050 (905) 692-3281/F
623,9132-7809 QUBEC INC.Also Doing Business As Name:   SALAISON PROVENCHER,731; RUE MERRILL   COATICOOK QC J1A 2S2,"45.11247909999999, -71.806752",   , 6fx,(819) 849-0567 (819) 849-7369/F
624,SKILCOR FOOD PRODUCTS LTD.,175 NUGGETT COURT   BRAMPTON ON L6T 5H4,"43.7238264, -79.6894113",   , 6fx 11D,(905) 501-0111 (905) 501-1126/F
625,LEAVOY ROWE BEEF CO. LTD.,3066 JARROW AVENUE   MISSISSAUGA ON L4X 2C7,"43.61395479999999, -79.5821484",   , 3fx 6fx 11D,(905) 272-2330 (905) 272-7161/F
626,PIXTAR CANADA INC.*,11106 WINSTON CHURCHILL BLVD.   GEORGETOWN ON L7G 4S7,"43.66834009999999, -79.8817521",   , 3f 11D,(905) 877-0303 (905) 877-0390/F
627,9395-8098 QUEBEC INC.Also Doing Business As Name:   DISTRIBUTION VIANDES DCARIE; VIANDES DCARIE,9595; BOUL. MTROPOLITAIN E   ANJOU QC H1J 3C1,"45.62321350000001, -73.5515945",   , 3fx 6fx 9B/US 11ADFV,(514) 744-6641 (514) 744-6330/F
628,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PRPARES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PRPARES VANCOUVER FANCY,65 REAGENS INDUSTRIAL PARKWAY   BRADFORD ON L3Z 2A4,"44.1131077, -79.59682959999999",P.O. BOX #1329   BRADFORD ON L3Z 2B7, 3fgx 6fgx 9B 11D 12Y,(905) 939-2962 (905) 939-8423/F
629,PRAIRIE PRIDE NATURAL FOODS LTD.,3535 MILLAR AVENUE   SASKATOON SK S7P 0A2,"52.190496, -106.6468811",   ,1fi 3f 6f 11D,(306) 653-1810 (306) 653-1811/F
631,ALPHA MEAT PACKERS LTD./SALAISON ALPHA LTEE,10800; BOULEVARD DU GOLF   ANJOU QC H1J 2Y7,"45.6250436, -73.5735699",   , 3fx 6fx 11D,(514) 593-8430 (514) 593-9285/F
632,PINTY'S DELICIOUS FOODS INC.,20 SCOTT AVE.   PARIS ON N3L 3R1,"43.2120293, -80.3930618",5063 NORTH SERVICE ROAD   BURLINGTON ON L7L 5H6, 6fx 11D,(519) 442-7448 (519) 442-5342/F
633,SABATINI U. GOURMET FOODS LIMITED,312 DOLOMITE DRIVE UNITS 919-931 ALNESS STREET  TORONTO ON M3J 2N2,"43.7805611, -79.4754636",925 ALNESS ST.   TORONTO ON M3J 2J1, 6fx 11D,(416) 661-6064 (416) 661-6149/F
634,FERME DES VOLTIGEURS INC.,2350; BOULEVARD FOUCAULT   DRUMMONDVILLE QC J2E 0E8,"45.9221059, -72.4854735",   ,1fi 3f 6f 11D,(819) 478-7495 (819) 478-9249/F
636,TNT FOODS INTERNATIONAL INC.Also Doing Business As Name:   TNT FOODS,20 WESTWYN COURT   BRAMPTON ON L6T 4T5,"43.6854081, -79.6938634", UNIT  , 3f 6f 11D,(905) 672-1787 (905) 612-8555/F
637,LEADBETTER FOODS INC.,4 BRAMMER DRIVE   ORILLIA ON L3V 7T4,"44.638534, -79.419961",255 HUGHES ROAD   ORILLIA ON L3V 2M2, 3fx 6fx 11D,(705) 325-9922 (705) 325-9982/F
638,CENTENNIAL FOODSERVICE,12759 VULCAN WAY UNIT 108  RICHMOND BC V6V 3C8,"49.1968256, -123.0806391",   , 3fx 6fx 11DL,(604) 273-5261 (604) 270-6310/F
